Designator,Mid X,Mid Y,Rotation,Layer
C1,106.15,-44.77,180.0,top
C2,100.922267,-51.072484,0.0,top
C3,100.445067,-53.265046,270.0,top
C4,103.270067,-54.185046,270.0,top
C5,95.689867,-51.834484,90.0,top
C6,98.980067,-44.802484,90.0,top
C7,112.120067,-51.985046,90.0,top
J1,113.7,-45.65,180.0,top
J2,95.05,-43.01,180.0,top
L1,100.240994,-47.702447,90.0,top
MOTOR1,103.015,-61.5,90.0,top
POWER1,102.94,-38.195,270.0,bottom
R1,113.0,-55.9,180.0,top
R2,101.165067,-42.852484,180.0,top
R3,105.795067,-41.915046,0.0,top
R4,105.845067,-43.465046,180.0,top
R5,113.05,-54.0,0.0,top
R6,111.006067,-47.313284,270.0,top
R7,109.6,-45.85,0.0,top
U1,106.890994,-51.702447,0.0,top
